FrameNumber,StartTime(ms),EndTime(ms),Lattitude,Longitude,Altitude,Distance_from_start(m),Speed
1,0,33,9.365171,80.089042,200.041,0.0,0.0
2,33,66,9.365171,80.089042,200.041,0.0,8.52
3,66,100,9.36517,80.089041,200.032,0.1562090601150313,0.0
4,100,133,9.36517,80.089041,200.032,0.1562090601150313,0.0
5,133,166,9.36517,80.089041,200.032,0.1562090601150313,5.98
6,166,200,9.36517,80.08904,200.049,0.2459919221344143,0.0
7,200,233,9.36517,80.08904,200.049,0.2459919221344143,0.0
8,233,266,9.36517,80.08904,200.049,0.2459919221344143,6.07
9,266,300,9.365169,80.08904,200.04,0.3124179612553761,0.0
10,300,333,9.365169,80.08904,200.04,0.3124179612553761,0.0
11,333,367,9.365169,80.08904,200.04,0.3124179612553761,0.01
12,367,400,9.365169,80.08904,200.054,0.31241804319878436,0.0
13,400,433,9.365169,80.08904,200.054,0.31241804319878436,0.0
14,433,467,9.365169,80.08904,200.054,0.31241804319878436,8.27
15,467,500,9.365168,80.089039,200.043,0.46862694288788137,0.0
16,500,533,9.365168,80.089039,200.043,0.46862694288788137,0.0
17,533,567,9.365168,80.089039,200.043,0.46862694288788137,0.02
18,567,600,9.365168,80.089039,200.06,0.46862705886176503,0.0
19,600,633,9.365168,80.089039,200.06,0.46862705886176503,0.0
20,633,667,9.365168,80.089039,200.06,0.46862705886176503,5.89
21,667,700,9.365167,80.089039,200.049,0.5533186307966955,0.0
22,700,734,9.365167,80.089039,200.049,0.5533186307966955,0.0
23,734,767,9.365167,80.089039,200.049,0.5533186307966955,0.01
24,767,800,9.365167,80.089039,200.063,0.5533187464512649,0.0
25,800,834,9.365167,80.089039,200.063,0.5533187464512649,0.0
26,834,867,9.365167,80.089039,200.063,0.5533187464512649,6.07
27,867,900,9.365166,80.089039,200.052,0.6460963179458918,0.0
28,900,934,9.365166,80.089039,200.052,0.6460963179458918,0.0
29,934,967,9.365166,80.089039,200.052,0.6460963179458918,5.98
30,967,1000,9.365166,80.08904,200.067,0.5977089751072664,0.0
31,1000,1034,9.365166,80.08904,200.067,0.5977089751072664,0.0
32,1034,1067,9.365166,80.08904,200.067,0.5977089751072664,6.07
33,1067,1101,9.365165,80.08904,200.054,0.7023271621053913,0.0
34,1101,1134,9.365165,80.08904,200.054,0.7023271621053913,0.0
35,1134,1167,9.365165,80.08904,200.054,0.7023271621053913,6.07
36,1167,1201,9.365164,80.08904,200.069,0.8087025774259226,0.0
37,1201,1234,9.365164,80.08904,200.069,0.8087025774259226,0.0
38,1234,1267,9.365164,80.08904,200.069,0.8087025774259226,8.52
39,1267,1301,9.365163,80.089041,200.055,0.8963000597188733,0.0
40,1301,1334,9.365163,80.089041,200.055,0.8963000597188733,0.0
41,1334,1368,9.365163,80.089041,200.055,0.8963000597188733,8.27
42,1368,1401,9.365162,80.089042,200.072,1.0007550346845888,0.0
43,1401,1434,9.365162,80.089042,200.072,1.0007550346845888,0.0
44,1434,1468,9.365162,80.089042,200.072,1.0007550346845888,8.27
45,1468,1501,9.365161,80.089043,200.059,1.1173493392009433,0.0
46,1501,1534,9.365161,80.089043,200.059,1.1173493392009433,0.0
47,1534,1568,9.365161,80.089043,200.059,1.1173493392009433,13.02
48,1568,1601,9.36516,80.089045,200.075,1.2666554356451019,0.0
49,1601,1634,9.36516,80.089045,200.075,1.2666554356451019,0.0
50,1634,1668,9.36516,80.089045,200.075,1.2666554356451019,13.13
51,1668,1701,9.365158,80.089046,200.06,1.5106825638000325,0.0
52,1701,1735,9.365158,80.089046,200.06,1.5106825638000325,0.0
53,1735,1768,9.365158,80.089046,200.06,1.5106825638000325,13.42
54,1768,1801,9.365157,80.089048,200.076,1.6901885302003634,0.0
55,1801,1835,9.365157,80.089048,200.076,1.6901885302003634,0.0
56,1835,1868,9.365157,80.089048,200.076,1.6901885302003634,17.04
57,1868,1901,9.365155,80.08905,200.064,1.9838423204306457,0.0
58,1901,1935,9.365155,80.08905,200.064,1.9838423204306457,0.0
59,1935,1968,9.365155,80.08905,200.064,1.9838423204306457,21.67
60,1968,2001,9.365153,80.089053,200.078,2.33720115049737,0.0
61,2001,2035,9.365153,80.089053,200.078,2.33720115049737,0.0
62,2035,2068,9.365153,80.089053,200.078,2.33720115049737,17.04
63,2068,2102,9.365151,80.089055,200.064,2.6419632643999797,0.0
64,2102,2135,9.365151,80.089055,200.064,2.6419632643999797,0.0
65,2135,2168,9.365151,80.089055,200.064,2.6419632643999797,25.56
66,2168,2202,9.365148,80.089058,200.075,3.1019639221223545,0.0
67,2202,2235,9.365148,80.089058,200.075,3.1019639221223545,0.0
68,2235,2268,9.365148,80.089058,200.075,3.1019639221223545,21.67
69,2268,2302,9.365146,80.089061,200.061,3.4746268718037103,0.0
70,2302,2335,9.365146,80.089061,200.061,3.4746268718037103,0.0
71,2335,2369,9.365146,80.089061,200.061,3.4746268718037103,29.18
72,2369,2402,9.365143,80.089065,200.076,4.007638039185953,0.0
73,2402,2435,9.365143,80.089065,200.076,4.007638039185953,0.0
74,2435,2469,9.365143,80.089065,200.076,4.007638039185953,24.81
75,2469,2502,9.36514,80.089068,200.063,4.474268148566922,0.0
76,2502,2535,9.36514,80.089068,200.063,4.474268148566922,0.0
77,2535,2569,9.36514,80.089068,200.063,4.474268148566922,29.18
78,2569,2602,9.365137,80.089072,200.082,5.012623036593764,0.0
79,2602,2635,9.365137,80.089072,200.082,5.012623036593764,0.0
80,2635,2669,9.365137,80.089072,200.082,5.012623036593764,29.18
81,2669,2702,9.365134,80.089076,200.072,5.553507247674813,0.0
82,2702,2736,9.365134,80.089076,200.072,5.553507247674813,0.0
83,2736,2769,9.365134,80.089076,200.072,5.553507247674813,30.07
84,2769,2802,9.365131,80.08908,200.086,6.096247675794656,0.0
85,2802,2836,9.365131,80.08908,200.086,6.096247675794656,0.0
86,2836,2869,9.365131,80.08908,200.086,6.096247675794656,35.02
87,2869,2902,9.365128,80.089085,200.072,6.716986363326699,0.0
88,2902,2936,9.365128,80.089085,200.072,6.716986363326699,0.0
89,2936,2969,9.365128,80.089085,200.072,6.716986363326699,34.08
90,2969,3003,9.365124,80.089089,200.082,7.341822336609749,0.0
91,3003,3036,9.365124,80.089089,200.082,7.341822336609749,0.0
92,3036,3069,9.365124,80.089089,200.082,7.341822336609749,38.52
93,3069,3103,9.36512,80.089094,200.071,8.044093928518455,0.0
94,3103,3136,9.36512,80.089094,200.071,8.044093928518455,0.0
95,3136,3169,9.36512,80.089094,200.071,8.044093928518455,38.52
96,3169,3203,9.365116,80.089099,200.086,8.74700201738803,0.0
97,3203,3236,9.365116,80.089099,200.086,8.74700201738803,0.0
98,3236,3269,9.365116,80.089099,200.086,8.74700201738803,38.52
99,3269,3303,9.365112,80.089104,200.077,9.45040451796704,0.0
100,3303,3336,9.365112,80.089104,200.077,9.45040451796704,0.0
101,3336,3370,9.365112,80.089104,200.077,9.45040451796704,42.06
102,3370,3403,9.365108,80.08911,200.097,10.2339013478368,0.0
103,3403,3436,9.365108,80.08911,200.097,10.2339013478368,0.0
104,3436,3470,9.365108,80.08911,200.097,10.2339013478368,37.39
105,3470,3503,9.365104,80.089115,200.091,10.938382728372908,0.0
106,3503,3536,9.365104,80.089115,200.091,10.938382728372908,0.0
107,3536,3570,9.365104,80.089115,200.091,10.938382728372908,42.06
108,3570,3603,9.3651,80.089121,200.11,11.723949808356668,0.0
109,3603,3636,9.3651,80.089121,200.11,11.723949808356668,0.0
110,3636,3670,9.3651,80.089121,200.11,11.723949808356668,37.39
111,3670,3703,9.365096,80.089126,200.106,12.42907308670753,0.0
112,3703,3737,9.365096,80.089126,200.106,12.42907308670753,0.0
113,3737,3770,9.365096,80.089126,200.106,12.42907308670753,43.33
114,3770,3803,9.365092,80.089132,200.123,13.216082302112481,0.0
115,3803,3837,9.365092,80.089132,200.123,13.216082302112481,0.0
116,3837,3870,9.365092,80.089132,200.123,13.216082302112481,38.52
117,3870,3903,9.365088,80.089137,200.116,13.92160438770707,0.0
118,3903,3937,9.365088,80.089137,200.116,13.92160438770707,0.0
119,3937,3970,9.365088,80.089137,200.116,13.92160438770707,47.0
120,3970,4004,9.365083,80.089143,200.124,14.783030491821826,0.0
121,4004,4037,9.365083,80.089143,200.124,14.783030491821826,0.0
122,4037,4070,9.365083,80.089143,200.124,14.783030491821826,51.72
123,4070,4104,9.365078,80.08915,200.109,15.726974433266408,0.0
124,4104,4137,9.365078,80.08915,200.109,15.726974433266408,0.0
125,4137,4170,9.365078,80.08915,200.109,15.726974433266408,47.0
126,4170,4204,9.365073,80.089156,200.117,16.588515303658443,0.0
127,4204,4237,9.365073,80.089156,200.117,16.588515303658443,0.0
128,4237,4270,9.365073,80.089156,200.117,16.588515303658443,48.41
129,4270,4304,9.365069,80.089163,200.102,17.460556715775873,0.0
130,4304,4337,9.365069,80.089163,200.102,17.460556715775873,0.0
131,4337,4371,9.365069,80.089163,200.102,17.460556715775873,45.62
132,4371,4404,9.365064,80.089169,200.109,18.322191632945355,0.0
133,4404,4437,9.365064,80.089169,200.109,18.322191632945355,0.0
134,4437,4471,9.365064,80.089169,200.109,18.322191632945355,50.19
135,4471,4504,9.365059,80.089176,200.099,19.2674104375545,0.0
136,4504,4537,9.365059,80.089176,200.099,19.2674104375545,0.0
137,4537,4571,9.365059,80.089176,200.099,19.2674104375545,45.62
138,4571,4604,9.365054,80.089182,200.107,20.129057707558307,0.0
139,4604,4637,9.365054,80.089182,200.107,20.129057707558307,0.0
140,4637,4671,9.365054,80.089182,200.107,20.129057707558307,50.19
141,4671,4704,9.365049,80.089189,200.094,21.07454666010498,0.0
142,4704,4738,9.365049,80.089189,200.094,21.07454666010498,0.0
